segment_id,mslink,VAL_MAE_baseline,VAL_MAE_ensemble,VAL_RMSE_ensemble,VAL_R2_ensemble,VAL_Coverage,TEST_MAE_baseline,TEST_MAE_ensemble,TEST_RMSE_ensemble,TEST_R2_ensemble,TEST_Coverage,90d_forecast_total_lambda,VAL_MAE_improvement,TEST_MAE_improvement
MSLINK_195,195,0.07777777777777777,0.000805103957791157,0.0019254968813415788,0.9998849384684121,100.0,0.13333333333333333,0.00011830917427627652,0.0006480060351092658,0.9999869682538144,100.0,3.5187,0.07697267381998661,0.13321502415905706
MSLINK_201,201,0.05555555555555555,9.349562122613234e-05,0.00017493099039272392,0.0,100.0,0.23333333333333334,0.0023261370374077143,0.006736939821224628,0.9998739267829033,100.0,2.9926999999999997,0.05546205993432942,0.23100719629592562
MSLINK_205,205,0.6555555555555554,0.0026206607014838336,0.005809453406226759,0.9999333886535281,100.0,0.6333333333333332,0.009251394416369395,0.03679461732631601,0.998269233696348,100.0,29.6478,0.6529348948540716,0.6240819389169638
MSLINK_206,206,0.25,0.00348320543725357,0.022482880741466014,0.9979690538670023,100.0,0.24444444444444444,0.00033990103036910684,0.0016162760921347799,0.9999833254357063,100.0,8.3951,0.24651679456274644,0.24410454341407534
MSLINK_207,207,0.611111111111111,0.004561956585077587,0.015922450446612554,0.9994754667002245,100.0,0.7111111111111111,0.006014009080478882,0.016025499372140577,0.9994292963774967,100.0,29.8086,0.6065491545260334,0.7050971020306323
MSLINK_211,211,0.9722222222222221,0.006439238426144178,0.02450397791798869,0.9972810040733346,100.0,1.0666666666666667,0.0021166589057522362,0.003953746205307524,0.9999434984010025,100.0,43.8226,0.965782983796078,1.0645500077609145
MSLINK_214,214,0.22777777777777777,0.0007038807748229023,0.0016101253586099555,0.999982587661915,100.0,0.26666666666666666,0.0013072860933896404,0.004804177673287041,0.9998733407877752,100.0,6.7597000000000005,0.22707389700295488,0.265359380573277
MSLINK_215,215,0.3611111111111111,0.00036056292862081304,0.0013491621580100496,0.9999933134094867,100.0,0.2111111111111111,2.6913742926437666e-05,0.00010436276663775979,0.9999999304792315,100.0,10.831399999999999,0.3607505481824903,0.21108419736818468
MSLINK_216,216,0.29999999999999993,0.000573412068348967,0.0015856826991867549,0.9999756016101321,100.0,0.3444444444444444,0.003113150266966291,0.009030025509248083,0.9997938561105958,100.0,13.230699999999999,0.29942658793165094,0.3413312941774781
MSLINK_217,217,0.3444444444444444,0.0012536165755895913,0.0039370177426478244,0.9999425330676196,100.0,0.2555555555555556,0.00034518476873544553,0.0010609855584804507,0.9999874923293856,100.0,9.340300000000001,0.3431908278688548,0.25521037078682013
MSLINK_218,218,0.4444444444444445,0.0015937900419924842,0.002173364065730799,0.9999740782913049,100.0,0.3333333333333333,0.024449929681589565,0.12465051276172356,0.8273583296471043,100.0,15.977599999999999,0.44285065440245197,0.30888340365174377
MSLINK_219,219,0.3444444444444444,0.0005796430048347437,0.0039645163401216335,0.9999793192239328,100.0,0.5,0.000420612723683908,0.001806471077884601,0.9999941726111514,100.0,10.913399999999998,0.3438648014396096,0.49957938727631607
MSLINK_220,220,0.32222222222222213,0.0007183007783537409,0.0017810132511762488,0.9999751215043069,100.0,0.3222222222222222,0.0010315430251338928,0.0035596633979155857,0.9999483978137746,100.0,13.054899999999998,0.3215039214438684,0.32119067919708827
MSLINK_221,221,0.16111111111111112,0.01164302189511516,0.08884124961320447,0.9513459529482731,100.0,0.25555555555555554,0.0010331594311916836,0.0015559353337120682,0.9999825692697086,100.0,4.847,0.14946808921599597,0.25452239612436384
MSLINK_222,222,0.07777777777777777,0.0009631681373206447,0.004450411092215608,0.9993853261034226,100.0,0.12222222222222223,0.0003307605692510339,0.0011213044723001435,0.9999797930116493,100.0,1.5256999999999998,0.07681460964045712,0.1218914616529712
MSLINK_226,226,0.24999999999999997,0.00045963728686057267,0.0019835311035993745,0.999994823163633,100.0,0.3333333333333333,0.0014172750364892404,0.0053495948387268935,0.9999712540753966,100.0,10.715599999999998,0.2495403627131394,0.33191605829684406
MSLINK_227,227,0.6277777777777779,0.003195313600497575,0.007596558455532311,0.9998819615219738,100.0,0.6222222222222222,0.0014314495336448475,0.005167400195306937,0.9998634555551101,100.0,21.1318,0.6245824641772802,0.6207907726885774
MSLINK_231,231,0.9333333333333333,0.017865538151583107,0.07602995726269501,0.9960065254567411,100.0,0.9444444444444445,0.004462021846240346,0.01477322044570002,0.9997209897186029,100.0,31.114099999999997,0.9154677951817503,0.9399824225982042
MSLINK_232,232,0.5111111111111112,0.005279779946669196,0.023394740519558414,0.9991203884007505,100.0,0.6222222222222222,0.0009712383125042945,0.00126665136207961,0.9999959439182423,100.0,19.4618,0.505831331164442,0.6212509839097179
MSLINK_233,233,0.4111111111111111,0.001604044936293038,0.006361111321411136,0.9998352155496876,100.0,0.5333333333333333,0.0017228263655890872,0.0033686385186882236,0.9999636549718056,100.0,16.392799999999998,0.4095070661748181,0.5316105069677443
MSLINK_235,235,0.06111111111111111,0.0005085252497196563,0.0006308724256969253,0.0,100.0,0.14444444444444443,0.0016900982214905617,0.0054236666594649355,0.9999429427930394,100.0,9.344899999999999,0.06060258586139145,0.14275434622295388
MSLINK_238,238,0.13333333333333333,0.0016232972169978044,0.0029217160381053934,0.9998882504415041,100.0,0.1,0.0005571013324247534,0.000922642756577301,0.9999863188805244,100.0,2.2718999999999996,0.13171003611633553,0.09944289866757525
MSLINK_239,239,0.05555555555555556,0.0003526744854571523,0.0004608116177309847,0.0,100.0,0.044444444444444446,0.0009064532977109328,0.0015439970184584284,0.9999260160650446,100.0,2.5206999999999997,0.05520288107009841,0.04353799114673351
MSLINK_245,245,0.18333333333333332,0.0024955596778401573,0.016673582165351853,0.9977458783062859,100.0,0.18888888888888886,9.541127116789205e-05,0.0002904727319792552,0.9999995369697121,100.0,9.4642,0.18083777365549317,0.18879347761772097
MSLINK_246,246,0.1,0.00029616452953534745,0.0006761103573826952,0.999972107613978,100.0,0.2777777777777778,0.0020180163713860214,0.0028433133790514158,0.9999703020903088,100.0,3.6632999999999996,0.09970383547046466,0.27575976140639175
MSLINK_247,247,0.23888888888888887,0.0007373622146572881,0.0040697008768164735,0.9998887595619098,100.0,0.2,0.0011397120365450508,0.002471372108916156,0.9999321368877697,100.0,7.392900000000001,0.2381515266742316,0.19886028796345495
MSLINK_248,248,0.08333333333333331,0.00028844350482647385,0.0005787067064263818,0.9999795653351283,100.0,0.11111111111111112,0.0014426146591997948,0.0036040789592968556,0.9999170890309903,100.0,2.3104999999999998,0.08304488982850684,0.10966849645191132
MSLINK_249,249,0.02222222222222222,0.00019027437531531834,0.00027242511951730265,0.0,100.0,0.07777777777777777,0.0011078920211382024,0.003965592754665069,0.9997472619052452,100.0,2.1583,0.022031947846906902,0.07666988575663956
MSLINK_251,251,0.1722222222222222,0.0015453457392416235,0.00199913252426372,0.9999476817779693,100.0,0.41111111111111115,0.0008218923089345317,0.0024273557258825446,0.9999575771980962,100.0,10.270499999999998,0.17067687648298058,0.4102892188021766
MSLINK_252,252,0.11111111111111109,0.0007386949447236827,0.0020600847213514276,0.999910653704018,100.0,0.08888888888888888,0.0010053111344049564,0.0028453335983821522,0.9998698869471879,100.0,4.4187,0.1103724161663874,0.08788357775448392
MSLINK_254,254,0.4555555555555555,0.01264036562782792,0.07294761657966682,0.984974998311565,100.0,0.2555555555555556,0.00035057322476213937,0.0005844926150554061,0.9999970435725447,100.0,13.103399999999999,0.44291518992772755,0.2552049823307935
MSLINK_255,255,0.2222222222222222,0.005831371962866653,0.0431133579382685,0.9908460439428622,100.0,0.26666666666666666,0.0006563085509227034,0.0015876614722609178,0.9999781865186976,100.0,8.7722,0.21639085025935556,0.266010358115744
MSLINK_258,258,0.23333333333333336,0.0007910211018907563,0.0018720462932930008,0.999965993513835,100.0,0.15555555555555556,0.0011037230512916747,0.0015404881033939674,0.9999848525302338,100.0,7.766500000000001,0.23254231223144262,0.1544518325042639
MSLINK_259,259,0.47777777777777775,0.0013825277947031483,0.00386483681360368,0.9999494614013676,100.0,0.6555555555555554,0.0010290206367840862,0.0022311075339442855,0.9999884831446139,100.0,32.2804,0.4763952499830746,0.6545265349187713
MSLINK_260,260,0.2944444444444444,0.0014098061632021204,0.003864438719549381,0.9999341152061008,100.0,0.42222222222222217,0.012431716877634023,0.056678726674967705,0.9953367254004095,100.0,8.434299999999999,0.29303463828124227,0.40979050534458816
MSLINK_261,261,0.08333333333333333,0.0008143680308992681,0.0009698957119776893,0.9999426014967524,100.0,0.25555555555555554,0.0015359291529799038,0.0023722932558064964,0.9999374691634273,100.0,6.1344,0.08251896530243406,0.25401962640257564
